eic_p,eic_g,type_g,cyear,Generation,cf,time_coverage,co2emitted
29WAISLAVRIO-V-A,29WGU-LAVRIO-V-X,Fossil Gas,2015,887738.0,0.273,0.984,342325000.0
48WSTN00000LBARK,48W000000LBAR-1Y,Fossil Gas,2015,2031244.0,0.606,0.52,835085000.0
48WSTN000LBAR-G1,48W00000LBAR-1G7,Fossil Oil,2015,130.0,0.332,0.003,76830.0
48WSTN0000LCLTWH,48W00000LCLTW-1D,Wind Onshore,2015,84343.0,0.176,0.794,0.0
41W1023600243EL3,41WLE-------TG5O,Fossil Gas,2015,0.0,0.0,0.923,
41W1023600243EL3,41WLE-------TG6M,Fossil Gas,2015,0.0,0.0,0.923,
41W1023600243EL3,41WLE-------TG7K,Fossil Gas,2015,10092.0,0.004,0.923,
41W1023600243EL3,41WLE-------TG8I,Fossil Gas,2015,32004.0,0.013,0.923,
41W1023600243EL3,41WLE-------TG9G,Fossil Gas,2015,1008902.0,0.28,0.923,
47W000000000234O,47W0000000001958,Hydro Run-of-river and poundage,2015,18947.0,0.658,0.219,0.0
47W000000000234O,47W0000000001966,Hydro Run-of-river and poundage,2015,5504.0,0.716,0.219,0.0
47W000000000234O,47W0000000001974,Hydro Run-of-river and poundage,2015,10116.0,0.658,0.219,0.0
46WPU0000000035Q,46WGU0000000035W,Hydro Water Reservoir,2015,698140.0,0.626,0.872,0.0
46WPU0000000035Q,46WGU0000000036U,Hydro Water Reservoir,2015,688302.0,0.617,0.872,0.0
46WPU0000000035Q,46WGU0000000037S,Hydro Water Reservoir,2015,577812.0,0.518,0.872,0.0
47W000000000233Q,47W000000000191G,Hydro Run-of-river and poundage,2015,106.0,0.004,0.219,0.0
47W000000000233Q,47W000000000192E,Hydro Run-of-river and poundage,2015,2963.0,0.103,0.219,0.0
47W000000000233Q,47W000000000193C,Hydro Run-of-river and poundage,2015,723.0,0.094,0.219,0.0
47W000000000233Q,47W000000000194A,Hydro Run-of-river and poundage,2015,4065.0,0.529,0.219,0.0
46WPU0000000031Y,46WGU0000000029R,Hydro Water Reservoir,2015,526687.0,0.385,0.872,0.0
15WLITER-----PPP,15WLITERG----GTJ,Fossil Oil,2015,1276.0,0.001,1.0,1045720.0
18WLIT1-12345-0A,18WLIT1-123456-S,Fossil Hard coal,2015,3596914.0,0.737,1.0,3138400000.0
18WLIT2-12345-00,18WLIT2-123456-I,Fossil Hard coal,2015,3746025.0,0.761,1.0,3268510000.0
48WSTN000LITT-G4,48W000000LITT1G1,Fossil Oil,2015,8.0,0.114,0.0,7320.77
48WSTN000LITT-G4,48W000000LITT2GZ,Fossil Oil,2015,8.0,0.114,0.0,7320.77
48WSTN000LITT-DA,48W000000LITTD2U,Fossil Oil,2015,1227.0,0.179,0.001,966876.0
48WSTN0000LNCSW1,48W00000LNCSO-1R,Wind Offshore,2015,353523.0,0.348,0.898,0.0
48WSTN0000LNCSW1,48W00000LNCSO-2P,Wind Offshore,2015,385213.0,0.35,0.898,0.0
48WSTN0000LNMTHP,48W00000LNMTH-1R,Hydro Pumped Storage,2015,184580.0,0.88,0.18,0.0
48WSTN0000LNMTHP,48W00000LNMTH-2P,Hydro Pumped Storage,2015,151211.0,0.792,0.164,0.0
48WSTN0000LNMTHP,48W00000LNMTH-3N,Hydro Pumped Storage,2015,228044.0,0.824,0.238,0.0
48WSTN00000LOAND,48W000000LOAN-19,Fossil Hard coal,2015,1743310.0,0.504,0.658,1630090000.0
48WSTN00000LOAND,48W000000LOAN-27,Fossil Hard coal,2015,1577378.0,0.497,0.604,1474930000.0
48WSTN00000LOAND,48W000000LOAN-35,Fossil Hard coal,2015,1464159.0,0.526,0.53,1369070000.0
48WSTN00000LOAND,48W000000LOAN-43,Fossil Hard coal,2015,853438.0,0.43,0.377,798009000.0
15WLORINC----PPF,15WLORINCG---GTQ,Fossil Oil,2015,4960.0,0.003,1.0,4064870.0
44W-T-YV-000000A,44W-T-YV-1000003,Nuclear,2015,1980287.0,0.923,0.987,0.0
44W-T-YV-000000A,44W-T-YV-1000011,Nuclear,2015,1984671.0,0.925,0.987,0.0
44W-T-YV-0000018,44W-T-YV-100003Y,Nuclear,2015,1979552.0,0.923,0.987,0.0
44W-T-YV-0000018,44W-T-YV-100004W,Nuclear,2015,2003303.0,0.934,0.987,0.0
17W100P100P0354A,17W100P100P0007V,Fossil Hard coal,2015,0.0,0.0,0.995,0.0
11WD7LUNE2S--KW8,11WD7LUNE5S--6-L,Fossil Hard coal,2015,361036.0,0.309,0.896,465496000.0
11WD7LUNE2S--KW8,11WD7LUNE2S--7-2,Fossil Hard coal,2015,1218.0,0.0,0.907,1325030.0
15WMATRA-----PPK,15WMATRAG3---STO,Fossil Brown coal/Lignite,2015,1439914.0,0.822,1.0,1704330000.0
15WMATRA-----PPK,15WMATRAG4---STH,Fossil Brown coal/Lignite,2015,1466498.0,0.813,1.0,1735800000.0
15WMATRA-----PPK,15WMATRAG5---STA,Fossil Brown coal/Lignite,2015,1235829.0,0.682,1.0,1462770000.0
49W000000000100F,49W000000000030A,Fossil Hard coal,2015,3130028.0,0.675,0.989,3048830000.0
49W000000000101D,49W0000000000318,Fossil Hard coal,2015,3129903.0,0.675,0.989,3048700000.0
49W000000000102B,49W0000000000326,Fossil Hard coal,2015,3653293.0,0.394,0.989,3037760000.0
18WMALA1-12345-L,18WMALA1-1234567,Fossil Gas,2015,1845647.0,0.507,1.0,702042000.0
14W-DMH-KW-----9,14W-DMH-TU-----P,Hydro Pumped Storage,2015,760458.0,0.12,0.989,0.0
14W-DMO-KW-----D,14W-DMO-TU-----T,Hydro Pumped Storage,2015,67303.0,0.065,0.989,0.0
22WMARCIN000179H,22WMARCIN150179H,Fossil Gas,2015,1150504.0,0.324,1.0,428141000.0
47W000000000165H,47W000000000152Q,Fossil Gas,2015,21.0,0.0,0.219,
48WSTN00000MARKJ,48W000000MARK-1D,Other,2015,197927.0,0.619,0.664,
17W100P100P0245F,17W100P100P0174C,Fossil Gas,2015,806705.0,0.198,1.0,297278000.0
17W100P100P0246D,17W100P100P0175A,Fossil Gas,2015,124295.0,0.031,1.0,45803800.0
11WD2KUET000160J,11WD2KUM1000161L,Hydro Pumped Storage,2015,96092.0,0.077,0.989,0.0
11WD2KUET000160J,11WD2KUM2000162B,Hydro Pumped Storage,2015,30777.0,0.025,0.989,0.0
17W100P100P0239A,17W100P100P0024V,Fossil Hard coal,2015,299054.0,0.24,0.568,275259000.0
17W100P100P0240P,17W100P100P0025T,Fossil Hard coal,2015,299887.0,0.256,0.568,276026000.0
49W000000000072V,49W000000000073T,Fossil Gas,2015,1936161.0,0.527,0.964,743047000.0
49W000000000074R,49W000000000075P,Fossil Gas,2015,1232548.0,0.331,0.973,473019000.0
14W-TZMA-KW----N,14W-TZM-TU-----A,Hydro Water Reservoir,2015,718642.0,0.234,0.989,0.0
48WSTN0000MDHLW9,48W00000MDHLW-1P,Wind Onshore,2015,163077.0,0.273,0.897,0.0
48WSTN00000MEDPZ,48W000000MEDP-12,Fossil Gas,2015,1009979.0,0.383,0.43,399252000.0
29WAISMEGAL-IIID,29WGU-MEGALIII-G,Fossil Brown coal/Lignite,2015,1390325.0,0.633,0.984,1838260000.0
29WAISMEGAL-IV-C,29WGU-MEGAL-IV-Z,Fossil Brown coal/Lignite,2015,1201656.0,0.545,0.984,1588810000.0
29WAISMEGAL-V--J,29WGU-MEGAL-V--5,Fossil Gas,2015,775974.0,0.156,0.672,282906000.0
18WMEI1-12345-0I,18WMEI1-12345-DT,Fossil Hard coal,2015,3131406.0,0.642,1.0,3053670000.0
29WAISMELITII--H,29WGU-MELITII--3,Fossil Brown coal/Lignite,2015,1347605.0,0.541,0.984,1589150000.0
14W-BME-KW-----Q,14W-BME-TU-----5,Hydro Run-of-river and poundage,2015,1150228.0,0.71,0.989,0.0
44W-T-LV-000003N,44W-T-LV-100005C,Fossil Hard coal,2015,476105.0,0.097,0.987,446110000.0
46WPU0000000032W,46WGU00000000305,Hydro Water Reservoir,2015,693793.0,0.605,0.872,0.0
46WPU0000000032W,46WGU00000000313,Hydro Water Reservoir,2015,622674.0,0.543,0.872,0.0
46WPU0000000032W,46WGU00000000321,Hydro Water Reservoir,2015,469673.0,0.404,0.872,0.0
48WSTN0000MILWW9,48W00000MILWW-1M,Wind Onshore,2015,133116.0,0.273,0.856,0.0
48WSTN0000MINSWD,48W00000MINSW-1U,Wind Onshore,2015,68166.0,0.23,0.891,0.0
16W-MIRANDA----I,16WMIRAN1------O,Hydro Run-of-river and poundage,2015,133459.0,0.255,0.997,0.0
16W-MIRANDA----I,16WMIRAN2------G,Hydro Run-of-river and poundage,2015,194427.0,0.371,0.997,0.0
16W-MIRANDA----I,16WMIRAN3------8,Hydro Run-of-river and poundage,2015,233742.0,0.446,0.997,0.0
16WMIRANII-----E,16WMIRAN4------0,Hydro Run-of-river and poundage,2015,242443.0,0.147,0.997,0.0
49W000000000091R,49W0000000000253,Fossil Gas,2015,0.0,0.0,0.975,0.0
24WV--EMO------K,24WG--EMOG11---0,Nuclear,2015,1142802.0,0.969,0.573,0.0
24WV--EMO------K,24WG--EMOG12---W,Nuclear,2015,1146334.0,0.972,0.573,0.0
24WV--EMO------K,24WG--EMOG21---V,Nuclear,2015,1042234.0,0.884,0.573,0.0
24WV--EMO------K,24WG--EMOG22---Q,Nuclear,2015,1039155.0,0.881,0.573,0.0
49W000000000063W,49W000000000013A,Fossil Gas,2015,1320743.0,0.438,0.989,548243000.0
49W000000000063W,49W0000000000148,Fossil Gas,2015,550594.0,0.152,0.989,203620000.0
47W000000000166F,47W0000000000889,Fossil Hard coal,2015,1702344.0,0.699,0.975,
47W000000000166F,47W0000000000897,Fossil Hard coal,2015,1361946.0,0.559,0.975,
47W000000000166F,47W000000000090M,Fossil Hard coal,2015,1650951.0,0.678,0.975,
17W100P100P0270G,17W100P100P0040X,Fossil Oil,2015,21131.0,0.013,1.0,17317500.0
17W100P100P0271E,17W100P100P0041V,Fossil Oil,2015,18141.0,0.011,1.0,14867100.0
17W100P100P02772,17W100P100P0071M,Hydro Pumped Storage,2015,367731.0,0.185,0.999,0.0
17W100P100P02772,17W100P100P0072K,Hydro Pumped Storage,2015,39998.0,0.02,0.999,0.0
17W100P100P02772,17W100P100P0073I,Hydro Pumped Storage,2015,357187.0,0.18,1.0,0.0
17W100P100P02772,17W100P100P0074G,Hydro Pumped Storage,2015,391745.0,0.197,1.0,0.0
48WSTN00000MRWDO,48W000000MRWD-1P,Fossil Gas,2015,2359274.0,0.424,0.69,898097000.0
18WMUEL-12345-03,18WMUE1-12345-FP,Hydro Pumped Storage,2015,323112.0,0.174,1.0,0.0
18WMUEL-12345-03,18WMUE2-12345-FF,Hydro Pumped Storage,2015,316182.0,0.171,1.0,0.0
18WMUEL-12345-03,18WMUE3-12345-F5,Hydro Pumped Storage,2015,317975.0,0.172,1.0,0.0
18WMUEL-12345-03,18WMUE4-123456-6,Hydro Pumped Storage,2015,16099.0,0.06,0.14,0.0
18WMUEL-12345-03,18WMUE5-123456-X,Hydro Pumped Storage,2015,7134.0,0.026,0.14,0.0
18WMUEL-12345-03,18WMUE6-123456-N,Hydro Pumped Storage,2015,11431.0,0.043,0.14,0.0
18WMUEL-12345-03,18WMUE7-123456-D,Hydro Pumped Storage,2015,17357.0,0.067,0.134,0.0
49W000000000078J,49W000000000079H,Fossil Hard coal,2015,3315906.0,0.537,0.964,2757220000.0
44W-T-YT-000006G,44W-T-YT-100005B,Fossil Hard coal,2015,113287.0,0.114,0.987,141533000.0
44W-T-YT-000006G,44W-T-YT-1000069,Fossil Hard coal,2015,426538.0,0.47,0.987,532888000.0
44W-T-YT-000006G,44W-T-YT-1000077,Fossil Hard coal,2015,291907.0,0.321,0.987,364689000.0
48WSTN00000NANT8,48W000000NANT-1R,Hydro Run-of-river and poundage,2015,31492.0,0.647,0.37,0.0
18WNRC2-12345-0G,18WNRC2-12345-DR,Fossil Hard coal,2015,161878.0,0.12,1.0,178908000.0
18WNRC3-12345-06,18WNRC3-12345-DH,Fossil Hard coal,2015,1532474.0,0.504,1.0,1639060000.0
28W-G-000000119L,28W-G-000000041W,Nuclear,2015,5361506.0,0.879,1.0,0.0
11WD7NEUR-B-KW-B,11WD7NEUR2B--A-T,Fossil Brown coal/Lignite,2015,2169715.0,0.852,0.989,2709430000.0
11WD7NEUR-B-KW-B,11WD7NEUR1B--B-X,Fossil Brown coal/Lignite,2015,1945477.0,0.764,0.989,2429410000.0
11WD7NEUR-B-KW-B,11WD7NEUR1B--C-U,Fossil Brown coal/Lignite,2015,2191375.0,0.86,0.989,2736480000.0
11WD7NEUR-B-KW-B,11WD7NEUR1B--D-R,Fossil Brown coal/Lignite,2015,4450487.0,0.85,0.989,5081180000.0
11WD7NEUR-B-KW-B,11WD7NEUR1B--E-O,Fossil Brown coal/Lignite,2015,4320360.0,0.823,0.989,4932620000.0
11WD7NEUR-B-KW-B,11WD7NEUR1B--F-L,Fossil Brown coal/Lignite,2015,7516927.0,0.818,0.989,7701960000.0
11WD7NEUR-B-KW-B,11WD7NEUR1B--G-I,Fossil Brown coal/Lignite,2015,6275061.0,0.683,0.989,6429520000.0
11WD7NIED-B-KW-5,11WD7NIED2B--C-H,Fossil Brown coal/Lignite,2015,2199408.0,0.858,0.989,2746510000.0
11WD7NIED-B-KW-5,11WD7NIED2B--D-E,Fossil Brown coal/Lignite,2015,2314152.0,0.887,0.989,2889800000.0
11WD7NIED-B-KW-5,11WD7NIED2B--E-B,Fossil Brown coal/Lignite,2015,2137679.0,0.817,0.989,2669430000.0
11WD7NIED-B-KW-5,11WD7NIED2B--F-8,Fossil Brown coal/Lignite,2015,1920961.0,0.722,0.989,2398800000.0
11WD7NIED-B-KW-5,11WD7NIED1B--G-C,Fossil Brown coal/Lignite,2015,4729021.0,0.868,0.989,5557990000.0
11WD7NIED-B-KW-5,11WD7NIED1B--H-9,Fossil Brown coal/Lignite,2015,4044304.0,0.731,0.989,4753250000.0
11WD7NIED-B-KW-5,11WD7NIED1B--K-0,Fossil Brown coal/Lignite,2015,6183677.0,0.772,0.989,6502620000.0
11WD7BOLA--KWNIK,11WD7OPLA1G--318,Fossil Gas,2015,27044.0,0.096,0.071,10286900.0
11WD7BOLA--KWNIK,11WD7BOLA5GDTN2T,Fossil Gas,2015,56992.0,0.62,0.071,21277000.0
11WD7BOLA--KWNIK,11WD7BOLA5GGTN2E,Fossil Gas,2015,113984.0,0.686,0.071,42554000.0
17W100P100P0219G,17W100P100P0137I,Nuclear,2015,8670991.0,0.756,1.0,0.0
17W100P100P0220V,17W100P100P0138G,Nuclear,2015,7228818.0,0.645,0.976,0.0
11WD2NO2K000308Z,11WD2NOR20001055,Fossil Hard coal,2015,510086.0,0.591,0.296,538094000.0
45W000000000016R,45W000000000038H,Fossil Hard coal,2015,1361733.0,0.409,1.0,1282750000.0
47W000000000167D,47W000000000092I,Fossil Gas,2015,3600.0,0.004,0.975,
47W000000000167D,47W000000000091K,Fossil Gas,2015,0.0,0.0,0.608,
22WNORTHW000187B,22WNORTHW150187B,Wind Offshore,2015,842258.0,0.448,0.995,0.0
24WV--ENO------B,24WG--ENOG01---Y,Fossil Brown coal/Lignite,2015,41764.0,0.076,0.573,59099300.0
24WV--ENO------B,24WG--ENOG02---T,Fossil Brown coal/Lignite,2015,137390.0,0.249,0.573,187217000.0
24WV--ENO------B,24WG--ENOG03---O,Fossil Brown coal/Lignite,2015,280363.0,0.508,0.573,382041000.0
24WV--ENO------B,24WG--ENOG04---J,Fossil Brown coal/Lignite,2015,286685.0,0.519,0.573,405681000.0
32W001100100217D,32W001100100017L,Nuclear,2015,7525263.0,0.859,1.0,0.0
32W001100100217D,32W001100100016N,Nuclear,2015,7855525.0,0.897,1.0,0.0
44W-T-YV-0000026,44W-T-YV-100005U,Nuclear,2015,7299742.0,0.959,0.987,0.0
44W-T-YV-0000034,44W-T-YV-100006S,Nuclear,2015,6769461.0,0.889,0.987,0.0
48WSTN0000OMNDWQ,48W00000OMNDO-1J,Wind Offshore,2015,409467.0,0.353,0.883,0.0
19W0000000001292,19W000000000130H,Fossil Hard coal,2015,1632825.0,0.484,0.997,1502910000.0
19W0000000001292,19W000000000131F,Fossil Hard coal,2015,1605201.0,0.48,0.997,1477480000.0
19W0000000001292,19W000000000132D,Fossil Hard coal,2015,1591835.0,0.476,0.997,1465180000.0
19W0000000001292,19W000000000133B,Fossil Hard coal,2015,1499411.0,0.452,0.997,1380110000.0
46WPU00000000040,46WGU0000000150W,Fossil Gas,2015,398152.0,0.178,0.869,148391000.0
46WPU00000000040,46WGU0000000151U,Fossil Gas,2015,195220.0,0.166,0.869,114334000.0
46WPU0000000059C,46WGU00000000070,Nuclear,2015,2259422.0,0.627,0.869,0.0
46WPU0000000060R,46WGU0000000008Z,Nuclear,2015,,,0.823,0.0
46WPU0000000061P,46WGU0000000009X,Nuclear,2015,8297233.0,0.778,0.869,0.0
19W0000000001349,19W0000000001381,Fossil Hard coal,2015,980232.0,0.508,0.997,953794000.0
19W0000000001349,19W000000000141C,Fossil Hard coal,2015,420651.0,0.209,0.997,409305000.0
19W0000000001349,19W0000000001365,Fossil Hard coal,2015,1241283.0,0.618,0.997,1207800000.0
14W-BOW-KW-----9,14W-BOW-TU-----P,Hydro Run-of-river and poundage,2015,1014127.0,0.654,0.989,0.0
18WPGR1-12345-04,18WPGR1-12345-DF,Fossil Hard coal,2015,2155072.0,0.701,1.0,2101580000.0
18WPGR2-12345-0V,18WPGR2-12345-D5,Fossil Hard coal,2015,2027900.0,0.66,1.0,1867700000.0
18WPGR3-12345-0L,18WPGR3-12345-DW,Fossil Hard coal,2015,1642591.0,0.535,1.0,1512830000.0
18WPGR4-12345-0B,18WPGR4-12345-DM,Fossil Hard coal,2015,2071579.0,0.674,1.0,1907920000.0
18WPNN3-12345-0I,18WPNN3-12345-DT,Fossil Hard coal,2015,1512042.0,0.576,1.0,1566660000.0
18WPALOS2-123-0R,18WPALOS2-123-C3,Fossil Gas,2015,143581.0,0.042,1.0,53603600.0
18WPALOS3-123-0J,18WPALOS3-123-CW,Fossil Gas,2015,0.0,0.0,1.0,0.0
18WPALOS1-123-0Z,18WPALOS1-123-CB,Fossil Gas,2015,34628.0,0.01,1.0,12927800.0
17W100P100P0221T,17W100P100P0139E,Nuclear,2015,9886965.0,0.849,1.0,0.0
17W100P100P0222R,17W100P100P0140T,Nuclear,2015,4068832.0,0.351,0.994,0.0
17W100P100P0223P,17W100P100P0141R,Nuclear,2015,6367992.0,0.548,0.998,0.0
17W100P100P0224N,17W100P100P0142P,Nuclear,2015,8856692.0,0.761,1.0,0.0
19W000000000142A,19W0000000001438,Fossil Brown coal/Lignite,2015,510034.0,0.263,0.997,629446000.0
19W000000000142A,19W0000000001454,Fossil Brown coal/Lignite,2015,241250.0,0.124,0.997,297733000.0
19W000000000142A,19W0000000001446,Fossil Brown coal/Lignite,2015,852830.0,0.488,0.997,1052500000.0
19W000000000142A,19W0000000001462,Fossil Brown coal/Lignite,2015,648734.0,0.371,0.997,800619000.0
19W000000000142A,19W0000000001470,Fossil Brown coal/Lignite,2015,1009353.0,0.578,0.997,1245670000.0
19W000000000142A,19W000000000148Z,Fossil Brown coal/Lignite,2015,853483.0,0.488,0.997,1053300000.0
19W000000000149X,19W000000000150B,Fossil Brown coal/Lignite,2015,2206349.0,0.533,0.997,2354950000.0
15WPAKS------PPL,15WPAKSG1----STK,Nuclear,2015,1708331.0,0.813,1.0,0.0
15WPAKS------PPL,15WPAKSG2----STC,Nuclear,2015,1707261.0,0.813,1.0,0.0
15WPAKS------PPL,15WPAKSG3----ST4,Nuclear,2015,1931025.0,0.927,1.0,0.0
15WPAKS------PPL,15WPAKSG4----STX,Nuclear,2015,1935449.0,0.929,1.0,0.0
15WPAKS------PPL,15WPAKSG5----STP,Nuclear,2015,1905671.0,0.922,1.0,0.0
15WPAKS------PPL,15WPAKSG6----STH,Nuclear,2015,1895404.0,0.917,1.0,0.0
15WPAKS------PPL,15WPAKSG7----ST9,Nuclear,2015,1946762.0,0.942,1.0,0.0
15WPAKS------PPL,15WPAKSG8----ST1,Nuclear,2015,1903930.0,0.921,1.0,0.0
18WPBCN1-12345-D,18WPBCN1-1234-PG,Fossil Gas,2015,811475.0,0.213,1.0,297442000.0
18WPBCN2-12345-4,18WPBCN2-1234-P7,Fossil Gas,2015,1498037.0,0.396,1.0,549099000.0
16WRPG---------5,16WRPG01-------E,Fossil Hard coal,2015,1887092.0,0.75,0.997,1574400000.0
16WRPG---------5,16WRPG02-------5,Fossil Hard coal,2015,2125784.0,0.845,0.997,1773540000.0
16WPEGO--------O,16WPEGO3-------P,Fossil Gas,2015,489452.0,0.134,0.997,183055000.0
16WPEGO--------O,16WPEGO4-------G,Fossil Gas,2015,110792.0,0.03,0.997,41436200.0
48WSTN00000PEHEU,48W000000PEHE-15,Fossil Gas,2015,104289.0,0.248,0.041,39699300.0
48WSTN00000PEMBL,48W00000PEMB-11T,Fossil Gas,2015,1704626.0,0.653,0.641,661138000.0
48WSTN00000PEMBL,48W00000PEMB-21Q,Fossil Gas,2015,1578120.0,0.573,0.676,612072000.0
48WSTN00000PEMBL,48W00000PEMB-31N,Fossil Gas,2015,1845232.0,0.645,0.703,715672000.0
48WSTN00000PEMBL,48W00000PEMB-41K,Fossil Gas,2015,1461100.0,0.6,0.624,566686000.0
48WSTN00000PEMBL,48W00000PEMB-51H,Fossil Gas,2015,1688038.0,0.566,0.732,654704000.0
17W100P100P0225L,17W100P100P0143N,Nuclear,2015,10154784.0,0.872,1.0,0.0
17W100P100P0226J,17W100P100P0144L,Nuclear,2015,9173562.0,0.788,1.0,0.0
48WSTN00000PETEV,48W000000PETEM1O,Fossil Gas,2015,18034.0,0.307,0.017,8058850.0
18WPGR5-123456-J,18WPGR5TG1-123-T,Fossil Gas,2015,54893.0,0.023,1.0,20120800.0
18WPGR5-123456-J,18WPGR5TG2-123-M,Fossil Gas,2015,50312.0,0.021,1.0,18441600.0
18WPGR5-123456-J,18WPGR5TV-1234-A,Fossil Gas,2015,73727.0,0.028,1.0,29143800.0
16WPICOTE------0,16WPICOTE1-----N,Hydro Run-of-river and poundage,2015,190262.0,0.335,0.997,0.0
16WPICOTE------0,16WPICOTE2-----G,Hydro Run-of-river and poundage,2015,203552.0,0.358,0.997,0.0
16WPICOTE------0,16WPICOTE3-----9,Hydro Run-of-river and poundage,2015,110665.0,0.195,0.997,0.0
16WPICOTII-----K,16WPICOTE4-----3,Hydro Run-of-river and poundage,2015,475756.0,0.222,0.997,0.0
21W00000000PIVA9,21W00000G10PIVAM,Hydro Water Reservoir,2015,167735.0,0.195,0.86,0.0
21W00000000PIVA9,21W00000G20PIVAF,Hydro Water Reservoir,2015,165991.0,0.193,0.86,0.0
21W00000000PIVA9,21W00000G30PIVA8,Hydro Water Reservoir,2015,166556.0,0.194,0.86,0.0
29WYISNPLASTIRAF,29WGU-PLASTIRASN,Hydro Water Reservoir,2015,153615.0,0.137,0.984,0.0
29WYISPLATANOVRH,29WGU-YISPLATAN1,Hydro Water Reservoir,2015,336596.0,0.337,0.984,0.0
21W0000000000PVY,21W00000000G0PVS,Fossil Brown coal/Lignite,2015,1161032.0,0.734,0.86,
16WPOCINHO-----S,16WPOCIN1------Z,Hydro Run-of-river and poundage,2015,115207.0,0.213,0.997,0.0
16WPOCINHO-----S,16WPOCIN2------R,Hydro Run-of-river and poundage,2015,61581.0,0.114,0.997,0.0
16WPOCINHO-----S,16WPOCIN3------J,Hydro Run-of-river and poundage,2015,172130.0,0.318,0.997,0.0
29WYISPOLYFYTO-O,29WGU-POLYFYTO-Q,Hydro Water Reservoir,2015,675879.0,0.209,0.984,0.0
17W100P100P0341J,17W100P100P00016,Fossil Gas,2015,581183.0,0.161,0.999,218137000.0
47W000000000168B,47W000000000093G,Fossil Gas,2015,101232.0,0.111,0.225,
19W000000000247X,19W000000000248V,Hydro Pumped Storage,2015,65250.0,0.055,0.997,0.0
19W000000000247X,19W000000000249T,Hydro Pumped Storage,2015,62234.0,0.053,0.997,0.0
19W000000000247X,19W0000000002507,Hydro Pumped Storage,2015,45117.0,0.038,0.997,0.0
19W000000000247X,19W0000000002523,Hydro Pumped Storage,2015,44487.0,0.038,0.997,0.0
17W100P100P0251K,17W100P100P0042T,Fossil Oil,2015,28490.0,0.006,1.0,22051300.0
17W100P100P0252I,17W100P100P0043R,Fossil Oil,2015,4427.0,0.001,1.0,3426500.0
17W100P100P0253G,17W100P100P0044P,Fossil Oil,2015,32245.0,0.006,0.999,24957600.0
17W100P100P0254E,17W100P100P0045N,Fossil Oil,2015,30431.0,0.006,1.0,23553600.0
46WPU0000000028N,46WGU00000000232,Hydro Water Reservoir,2015,428776.0,0.255,0.872,0.0
46WPU0000000028N,46WGU00000000240,Hydro Water Reservoir,2015,727545.0,0.433,0.872,0.0
46WPU0000000036O,46WGU0000000038Q,Hydro Water Reservoir,2015,601507.0,0.738,0.869,0.0
17W100P100P0290A,17W100P100P0075E,Hydro Water Reservoir,2015,167352.0,0.068,0.981,0.0
29WYISPOURNARI-P,29WGU-YISPOURN17,Hydro Water Reservoir,2015,280882.0,0.109,0.984,0.0
19W000000000165Z,19W000000000166X,Biomass,2015,1437089.0,0.731,0.997,1771930000.0
19W0000000001519,19W0000000001535,Fossil Hard coal,2015,1035320.0,0.527,0.997,1068450000.0
19W0000000001519,19W0000000001551,Fossil Hard coal,2015,1167460.0,0.552,0.997,1204820000.0
19W0000000001519,19W000000000157Y,Fossil Hard coal,2015,1355856.0,0.641,0.997,1399240000.0
19W0000000001519,19W000000000158W,Fossil Hard coal,2015,1177323.0,0.557,0.997,1215000000.0
19W0000000001519,19W0000000001616,Fossil Hard coal,2015,627946.0,0.319,0.997,648040000.0
19W0000000001519,19W0000000001624,Fossil Hard coal,2015,1104854.0,0.523,0.997,1140210000.0
19W0000000001519,19W0000000001640,Fossil Hard coal,2015,1140229.0,0.546,0.997,1176720000.0
24WV--PBA------A,24WG--PBAG01---X,Fossil Gas,2015,825.0,0.001,0.573,435339.0
29WPROTERGIACC-4,29WGU-PROTERGCC2,Fossil Gas,2015,590518.0,0.159,0.984,215292000.0
17W100P100P03469,17W100P100P0009R,Fossil Hard coal,2015,1595336.0,0.328,0.934,1509190000.0
11WD2ERZH0002682,11WD2ERZH0002682,Hydro Pumped Storage,2015,131477.0,0.116,0.586,0.0
11WD8GOLD1H----6,11WD8GOLD1H---AL,Hydro Pumped Storage,2015,457327.0,0.199,0.989,0.0
11WD8GOLD1H----6,11WD8GOLD1H---BJ,Hydro Pumped Storage,2015,431789.0,0.188,0.989,0.0
11WD8GOLD1H----6,11WD8GOLD1H---CH,Hydro Pumped Storage,2015,502015.0,0.219,0.989,0.0
11WD8GOLD1H----6,11WD8GOLD1H---DF,Hydro Pumped Storage,2015,298913.0,0.13,0.989,0.0
11WD8MARK1H----7,11WD8MARK1H---AM,Hydro Pumped Storage,2015,137690.0,0.099,0.989,0.0
11WD8MARK1H----7,11WD8MARK1H---BK,Hydro Pumped Storage,2015,163826.0,0.118,0.989,0.0
11WD8MARK1H----7,11WD8MARK1H---CI,Hydro Pumped Storage,2015,180540.0,0.13,0.989,0.0
11WD8MARK1H----7,11WD8MARK1H---DG,Hydro Pumped Storage,2015,152753.0,0.11,0.989,0.0
11WD8MARK1H----7,11WD8MARK1H---EE,Hydro Pumped Storage,2015,134680.0,0.097,0.989,0.0
11WD8MARK1H----7,11WD8MARK1H---FC,Hydro Pumped Storage,2015,120746.0,0.087,0.989,0.0
29WAISPTOLEM-II6,29WGU-PTOLEM-IIT,Fossil Brown coal/Lignite,2015,0.0,0.0,0.984,0.0
